Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Volatility_30,Cumulative_Return
2023-02-15,153.4036713,153.5715612,150.984058,151.2112015,65573800,0.013903135893705842,150.98020715714284,140.18154957333334,0.014182414861304784,0.014632095670231087,1.2438406099931187
2023-02-16,151.8037872,154.3912907,151.4482511,151.6062555,68167900,-0.010429242575761166,150.88085064285715,141.08825250333334,0.013144648181615036,0.014975851473243715,1.2308682945459177
2023-02-17,150.6581879,151.1026043,148.9792731,150.4606711,59144100,-0.007546579180469748,151.00241524285713,142.00081379333332,0.011395381702746656,0.01486391857891701,1.221579449500397
2023-02-21,146.6386414,149.4236767,146.5695173,148.3373122,58867200,-0.0266799073852394,150.69767325714287,142.62818908,0.01539233070842883,0.014966372978831946,1.1889878229240147
2023-02-22,147.0632782,148.0903739,145.334981,147.0237658,51011300,0.0028958042433144815,150.40139117142857,143.25229898333333,0.015414227854145913,0.0149696301613192,1.1924308989068872
2023-02-23,147.5471954,148.4755403,145.4139943,148.2286407,48394200,0.003290537283834105,149.77355521428572,143.87347411333334,0.012841852437445404,0.01497168384656855,1.1963546372381362
2023-02-24,144.8906097,145.3646529,143.9128816,145.2856432,55469600,-0.018004989473354605,148.85791015714287,144.31537576333332,0.013876395164641623,0.015187543258983598,1.1748142845882645
2023-02-27,146.0855713,147.3200694,145.6213988,145.878184,44998500,0.008247336404161754,147.8124673,144.79973855666668,0.012627252378467842,0.015194808102476622,1.1845033732056787
2023-02-28,145.5819244,147.2312124,145.0091154,145.2263883,50547000,-0.0034476156373152156,146.92362975714286,145.22294005333333,0.012576695264577113,0.015196285091174142,1.180419660853762
2023-03-01,143.5079193,145.4041064,143.2116368,145.0090731,55479000,-0.014246309138636448,145.90216281428573,145.53822173,0.01297228703280392,0.015481685415235499,1.1636030374519148
2023-03-02,144.1005249,144.8906068,142.1154419,142.5895001,52238100,0.004129427859386414,145.53957474285716,145.89725086333334,0.010011319288805554,0.015414484557294853,1.1684080522520355
2023-03-03,149.1570129,149.2360226,145.5029012,146.2040877,70732300,0.03509000403370499,145.8386797,146.42285714333332,0.017482544540755613,0.016498777791009205,1.2094074955185727
