Close,Volume,Daily_Return,Volatility_7,Volatility_30,Anomaly
85.81999969,76706000,-0.658506526532006,0.2498041390315508,0.1212846843924556,1
85.13999939,68885100,-0.0079235644658157,0.2480137753784433,0.1211559264544698,1
83.12000275,67930800,-0.0237255890823656,0.2464236082159363,0.1210997694034796,1
86.08000183,83303400,0.035611152334809,0.2484086742603413,0.1214549002152778,1
87.36000061,65266100,0.0148698739868509,0.2492313622477646,0.1215736376572309,1
89.87000275,67756600,0.0287317092773999,0.2520202692923319,0.1217995696189064,1
95.08999634,103126200,0.0580838258625735,0.256995556909431,0.122461358049536,1
95.26999664,85254800,0.0018929467549499,0.0278856187899729,0.1224158650358622,1
98.12000275,85549400,0.0299150436707729,0.026238057912306,0.1226743904603637,1
96.05000305,72755000,-0.0210966127393427,0.0255035645987513,0.122585926740388,1
95.45999908,79570400,-0.0061426751823512,0.0264222118550054,0.1225067580798284,1
93.68000031,69002700,-0.0186465408250033,0.0293609814604422,0.1223818421739443,1
97.25,67481500,0.0381084508773097,0.0305279012392212,0.1227606484673055,1
102.2399979,87775600,0.0304373779768838,0.0212134235823099,0.1231043656450048,1
103.1299973,66527300,0.025658817707187,0.0183665286901065,0.1232402096632245,1
112.9100037,158154200,0.0737993541540749,0.0271377308304566,0.1242978369758242,1
103.3899994,144374800,-0.0843149764240067,0.049235988833363,0.1249791942946248,1
102.1800003,81945200,-0.0117032508658665,0.0495633163779053,0.1249134534259111,1
102.1100006,119501300,-0.000685062632555,0.048310151076236,0.1247800229622407,1
100.0500031,75878300,-0.0201742972078682,0.048547486600384,0.1247295020126158,1
98.23999786,64622500,-0.0180910063360107,0.0475459765989486,0.1246150568666692,1
97.61000061,52740100,-0.0064128385965337,0.0462163929085908,0.1245717110187874,1
99.54000092,52841500,0.0197725673387842,0.0324040702838916,0.1247619030964966,1
99.69999695,56202900,0.0016073541141374,0.0136897285120442,0.1248068430977902,1
108.0999985,231402800,-0.511522833322545,0.1927045524833195,0.0954558941340644,1
113.6399994,180389000,0.0512488527000303,0.1957964893592315,0.0962012409899045,1
110.3399963,157986300,-0.0290390981821846,0.1948748853245338,0.0962336714061806,1
113.0599976,220911100,0.0246510910930672,0.1973983349844528,0.0964684866830415,1
119.7699966,190284000,0.0593490106353937,0.2025024400360295,0.0971546337258277,1
118.8499985,167642500,-0.0076813736838663,0.2015600385893622,0.0968319496964605,1
123.2200012,183810800,0.0367690597825292,0.2043059349699859,0.0972336987508466,1
123.5599976,169400900,0.002759263079767,0.032392037671808,0.0971880453060563,1
122.4000015,180714100,-0.0093881201240813,0.0306151015915174,0.0970843265245734,1
131.4900055,186477000,0.0742647376519842,0.0328787842665837,0.0982448316020554,1
128.7799988,195680300,-0.0206099824066097,0.0372996879818008,0.0980880977983143,1
127.1699982,170291900,-0.0125019460708365,0.0342173833718109,0.0980054233629521,1
143.75,203119200,0.0774246884977096,0.0426119525876057,0.0996547602096955,1
144.4299927,192734300,0.0037528202255314,0.0413780635480907,0.0995219989751298,1
160.2700043,234815100,0.1096725915710719,0.0497694393916018,0.1018271582413257,1
177.8999939,306590600,0.1100018039994523,0.0521915371942875,0.1039446573233714,1
166.6600037,230878800,-0.0631815097549589,0.0641787090930062,0.1044519452956276,1
173.2200012,196813500,0.0393615585885169,0.0640810517990851,0.1047389903312242,1
181.4100037,213806300,0.0472809285490294,0.0621070456028769,0.1047688602080075,1
188.2700043,217448300,0.0378148969741738,0.0602354255044936,0.1049643277898773,1
189.9799957,232662000,0.0090826544905961,0.0597224735092279,0.1049678952155531,1
194.7599945,186188100,0.0251605374681036,0.0516212390776519,0.1050513168967803,1
196.8099976,186010300,0.0105257915274792,0.0374756053013157,0.1050245973435671,1
201.2899933,180673600,0.0227630494112662,0.0146831860674985,0.1050637126357714,1
207.3200073,215431400,0.0299568493254056,0.013813687535349,0.1051106130999014,1
196.8899994,204754100,-0.0503087378581237,0.0293564924323402,0.1055643171050925,1
194.6399994,172475500,-0.0114277007814344,0.0280501483006713,0.1055917385530986,1
209.25,216455700,0.0750616555951346,0.0386797927764054,0.1063598081458641,1
202.0399933,229586500,-0.056945537186331,0.0472013278297074,0.0440774298564033,1
162.1300049,181178000,0.120611094003739,0.0555226216912979,0.0374111173551642,1
194.0500031,243869700,0.1530691712256429,0.0723769025362827,0.0460997655773173,1
241.0299988,221707300,-0.0844412754405359,0.0583766635600907,0.0345250019434894,1
260.480011,204491900,0.2191903507468342,0.0849694920165161,0.0495753584403784,1
288.5299988,165228700,0.1475103247135507,0.0620654214959194,0.0552971617185683,1
321.2200012,204782800,0.081876653521459,0.0634185212101303,0.0569846797082301,1
350.0,210521600,0.0895959115014162,0.0594063150903505,0.0588673100978383,1
328.4899902,155726000,-0.0614571708571427,0.0711156660656731,0.0601961028436511,1
311.1799927,120726100,-0.0577155949176745,0.0781409979413541,0.0603948586722743,1
338.7399902,126085600,0.056186046808982,0.0618906803976551,0.0601722320379096,1
424.769989,104287600,0.0593032229760632,0.0268205983962398,0.0445337134520684,1
463.019989,114083800,0.0614125056150711,0.0300196988717205,0.0444651378729702,1
479.8599854,131223000,0.0363699123149519,0.0287682681418147,0.0436538860354779,1
440.1300049,149340800,-0.0827949437519405,0.0516056912643992,0.0477201818318692,1
436.1700134,118566100,-0.0089973222818556,0.0523444684003583,0.0414306079617212,1
421.0599976,132216200,-0.0346424910832717,0.0505916486944349,0.0422928845493923,1
462.2799988,59551800,0.0735717423390904,0.0555339236184263,0.0392914358487747,1
