Date,Close,High,Low,Open,Volume,Anomaly
2023-01-03,108.0999985,118.8000031,104.6399994,118.4700012,231402800,1
2023-01-05,110.3399963,111.75,107.1600037,110.5100021,157986300,1
2023-01-06,113.0599976,114.3899994,101.8099976,103.0,220911100,1
2023-01-26,160.2700043,161.4199982,154.7599945,159.9700012,234815100,1
2023-01-27,177.8999939,180.6799927,161.1699982,162.4299927,306590600,1
2023-01-30,166.6600037,179.7700043,166.5,178.0500031,230878800,1
2024-04-29,194.0500031,198.8699951,184.5399933,188.4199982,243869700,1
2024-07-11,241.0299988,271.0,239.6499939,263.2999878,221707300,1
2024-11-08,321.2200012,328.7099915,297.6600037,299.1400146,204782800,1
2024-11-11,350.0,358.6400146,336.0,346.2999878,210521600,1
2024-11-12,328.4899902,345.8399963,323.3099976,342.7399902,155726000,1
2024-11-29,345.1600037,345.4500122,334.6499939,336.0799866,37167600,1
2024-12-04,357.9299927,358.1000061,348.6000061,353.0,50810900,1
2024-12-10,400.9899902,409.730011,390.8500061,392.6799927,97563600,1
2024-12-11,424.769989,424.8800049,402.3800049,409.7000122,104287600,1
2024-12-13,436.230011,436.2999878,415.7099915,420.0,89000200,1
2024-12-16,463.019989,463.1900024,436.1499939,441.0899963,114083800,1
2024-12-17,479.8599854,483.9899902,457.5100098,475.8999939,131223000,1
2024-12-18,440.1300049,488.5400085,427.0100098,466.5,149340800,1
2024-12-19,436.1700134,456.3599854,420.019989,451.8800049,118566100,1
2024-12-20,421.0599976,447.0799866,417.6400146,425.5100098,132216200,1
2024-12-23,430.6000061,434.5100098,415.4100037,431.0,72698100,1
2024-12-24,462.2799988,462.7799988,435.1400146,435.8999939,59551800,1
2024-12-26,454.1300049,465.3299866,451.019989,465.1600037,76366400,1
2024-12-30,417.4100037,427.0,415.75,419.3999939,64941000,1
2024-12-30,417.4100037,427.0,415.75,419.3999939,64941000,1
