Date,Close,High,Low,Open,Volume
2023-01-03,123.3306503,129.0795668,122.4431651,128.4681939,112117500
2023-01-04,124.6026993,126.870716,123.3405016,125.1253273,89113600
2023-01-05,123.2813492,125.9931051,123.0249704,125.3620061,80962700
2023-01-06,127.8173828,128.4780634,123.1531667,124.2575936,87754700
2023-01-09,128.3399811,131.5546535,128.0836023,128.655538,70790800
2023-01-10,128.9119415,129.4345696,126.338238,128.4484766,63896200
2023-01-11,131.6335602,131.6532712,128.6456996,129.4247064,69458900
2023-01-12,131.5546875,132.3928576,129.6120828,132.0181525,71379600
2023-01-13,132.8858795,133.043658,129.8290004,130.19385,57809700
2023-01-17,134.049469,135.3806854,132.2646433,132.9549053,63646600
2023-01-18,133.3296509,136.6823613,133.1521463,134.9172613,69672800
2023-01-19,133.3888245,134.3551915,131.9096847,132.2153712,58280400
2023-01-20,135.9526367,136.1005597,132.3534033,133.3986595,80223600
2023-01-23,139.1475677,141.3268396,135.982203,136.1991446,81760300
2023-01-24,140.547821,141.1690644,138.3488381,138.3586936,66435100
2023-01-25,139.8871307,140.4491958,136.8795446,138.9306195,65799300
2023-01-26,141.957962,142.2439224,139.9265977,141.1789401,54105100
2023-01-27,143.900528,145.1824517,141.0901723,141.1690615,70555800
2023-01-30,141.0112915,143.5258315,140.8633836,142.9440403,64015300
2023-01-31,142.283371,142.3326786,140.3013292,140.7154865,65874500
2023-02-01,143.4075012,144.5710988,139.3546733,141.9678138,77663600
2023-02-02,148.7225494,149.0775285,146.109394,146.8292377,118339000
2023-02-03,152.3513641,155.1913167,145.7741258,145.9713414,154357300
2023-02-06,149.6198883,150.970846,148.683103,150.4482179,69858300
2023-02-07,152.4992828,153.0712186,148.5450552,148.5450552,83322600
2023-02-08,149.8072357,152.4302465,149.067666,151.7399845,64120100
2023-02-09,148.7718353,152.1837235,148.3280965,151.6413694,56007100
2023-02-10,149.1372528,149.4631621,147.369458,147.6064871,57450700
2023-02-13,151.9420471,152.3469511,149.0483755,149.0780022,62199000
2023-02-14,151.3001251,151.8630636,148.9891477,150.2335167,61707600
2023-02-15,153.4036713,153.5715612,150.984058,151.2112015,65573800
2023-02-16,151.8037872,154.3912907,151.4482511,151.6062555,68167900
2023-02-17,150.6581879,151.1026043,148.9792731,150.4606711,59144100
2023-02-21,146.6386414,149.4236767,146.5695173,148.3373122,58867200
2023-02-22,147.0632782,148.0903739,145.334981,147.0237658,51011300
2023-02-23,147.5471954,148.4755403,145.4139943,148.2286407,48394200
2023-02-24,144.8906097,145.3646529,143.9128816,145.2856432,55469600
2023-02-27,146.0855713,147.3200694,145.6213988,145.878184,44998500
2023-02-28,145.5819244,147.2312124,145.0091154,145.2263883,50547000
2023-03-01,143.5079193,145.4041064,143.2116368,145.0090731,55479000
2023-03-02,144.1005249,144.8906068,142.1154419,142.5895001,52238100
2023-03-03,149.1570129,149.2360226,145.5029012,146.2040877,70732300
2023-03-06,151.9222717,154.3616411,151.5568651,151.8827594,87558000
2023-03-07,149.7199402,152.1197973,149.2557677,151.793888,56182000
2023-03-08,150.9741669,151.566732,149.9470711,150.9149134,47204800
2023-03-09,148.7224731,152.6234847,148.366937,151.6556423,53833600
2023-03-10,146.658371,149.0681136,145.7794089,148.347171,68572400
2023-03-13,148.6039734,151.24086,145.8683208,145.9769573,84457100
2023-03-14,150.6976471,151.4975994,148.2385365,149.4038955,73695900
2023-03-15,151.0926971,151.3494673,148.0607626,149.3150169,77167900
2023-03-16,153.9172058,154.5196414,149.7594102,150.2729656,76161100
2023-03-17,153.077774,154.7962009,152.3667019,154.1443823,98944600
2023-03-20,155.447998,155.8628027,152.2383029,153.1469068,73641400
2023-03-21,157.3046722,157.4231792,154.5986472,155.3689878,73938300
2023-03-22,155.8726807,160.129228,155.8529245,157.3244517,75701800
2023-03-23,156.9589996,159.5465176,155.7245017,156.8602488,67622100
2023-03-24,158.2626495,158.3515298,155.8924193,156.8898883,59196500
2023-03-27,156.3170624,158.7761876,155.9121434,157.9564792,52390300
2023-03-28,155.6949158,156.5245101,154.0456279,156.0109546,45992200
2023-03-29,158.7762146,159.052741,157.3738265,157.3935677,51305700
2023-03-30,160.3465118,160.4551483,159.270033,159.5268032,49501700
2023-03-31,162.8549957,162.9537616,159.9020857,160.4255117,68749800
2023-04-03,164.1092224,164.2277294,162.1834086,162.2327915,56976200
2023-04-04,163.5759583,164.7709441,163.0624028,164.5339301,46278300
2023-04-05,161.729126,163.0031365,159.7934413,162.6969834,51511700
2023-04-06,162.6180115,162.9142941,159.9909952,160.4156554,45390100
2023-04-10,160.0205841,160.0205841,158.09477,159.4181484,47716900
2023-04-11,158.8058624,160.3465139,158.5194504,160.3366433,47644200
2023-04-12,158.1145172,160.0502017,157.7984785,159.2206226,50133100
2023-04-13,163.5068054,163.7438345,159.4181482,159.6255505,68445600
2023-04-14,163.1611481,164.257383,161.7883868,162.5488268,49386500
2023-04-17,163.1809235,163.3389429,161.9958081,163.0426603,41516200
2023-04-18,164.4055481,165.3338932,163.59571,164.0401414,49923000
2023-04-19,165.5511475,166.0745735,163.4870551,163.7438403,47720200
2023-04-20,164.5832825,165.7881538,163.5068037,164.0302297,52456400
2023-04-21,162.973526,164.3857848,162.4500999,163.0031528,58337300
2023-04-24,163.2796631,163.5463189,161.8575188,162.9537538,41949600
2023-04-25,161.7390289,164.2475228,161.6995165,163.1414172,48714100
2023-04-26,161.729126,163.2302799,160.7810398,161.03781,45498800
2023-04-27,166.3215179,166.4696517,163.1414486,163.1414486,64902300
2023-04-28,167.5757141,167.7436191,165.7980488,166.4004845,55275900
2023-05-01,167.4868622,168.3361977,166.5486464,167.180709,52472900
2023-05-02,166.4498444,168.2374103,165.4622459,167.980625,48425700
2023-05-03,165.3733826,168.8003509,165.0869856,167.3979627,65136000
2023-05-04,163.7339478,164.9684459,162.2723062,162.8451151,81235400
2023-05-05,171.4174805,172.1384232,168.642316,168.8595889,113453200
2023-05-08,171.3483276,171.6939931,169.9755664,170.340973,55962800
2023-05-09,169.639801,171.3878395,169.4719111,170.9039259,45326900
2023-05-10,171.4076233,171.8717959,169.7682059,170.8743266,53724500
2023-05-11,171.5952454,172.4248245,170.0348379,171.6940112,49514700
2023-05-12,170.6656189,172.1391664,169.1129373,171.7040196,45533100
2023-05-15,170.1711426,171.2985616,169.5777578,171.2491103,37266700
2023-05-16,170.1711426,171.2293268,169.9041179,170.0920236,42110300
2023-05-17,170.7842865,171.0216283,168.5393328,169.8151055,57951600
2023-05-18,173.1182556,173.3061613,170.6755119,171.0908752,65496700
2023-05-19,173.2270355,174.4434577,173.0094621,174.4434577,55809500
2023-05-22,172.2776337,172.7820153,171.5359102,172.0600602,43570900
2023-05-23,169.6667786,171.4667015,169.3898697,171.2194604,50747300
2023-05-24,169.9436646,170.5172658,168.6382392,169.2019411,45143500
2023-05-25,171.0809784,171.9809246,169.7953215,170.5073772,56058300
2023-05-26,173.4940643,173.8303238,171.1996742,171.4073634,54835000
2023-05-30,175.3434448,177.0147976,174.6215048,175.0072004,55964400
2023-05-31,175.2939758,177.3708075,174.8093777,175.3730948,99625300
2023-06-01,178.1026306,178.1322983,174.9774989,175.7390058,68901800
2023-06-02,178.953125,179.7739674,177.2817726,179.032244,61996900
2023-06-05,177.5982513,182.908986,176.0752375,180.6145962,121946500
2023-06-06,177.2323608,178.1323072,175.4719899,177.9839685,64848400
2023-06-07,175.8576965,179.210286,175.3632142,176.4708498,61944600
2023-06-08,178.5773315,178.8443411,175.5016513,175.936783,50214900
2023-06-09,178.9630432,180.2190174,178.6366831,179.4970775,48900000
2023-06-12,181.761795,181.8606975,178.9729228,179.2696151,54274900
2023-06-13,181.2870941,182.1178207,180.4266998,180.7827276,54929100
2023-06-14,181.9200287,182.3551755,180.0113343,181.3464274,57462900
2023-06-15,183.9573212,184.4617028,181.7519341,181.9299556,65433200
2023-06-16,182.8793335,184.9264975,182.2365125,184.669357,101256200
2023-06-20,182.968338,184.0463209,182.3749683,182.3749683,49799100
2023-06-21,181.9299164,183.3639119,180.5750248,182.8595303,49515700
2023-06-22,184.9364014,184.9858526,181.6431471,181.7123818,51245300
2023-06-23,184.6199036,185.4901972,182.9683345,183.5023838,53117000
2023-06-26,183.2254639,185.9747841,183.1858968,184.7682461,48088700
2023-06-27,185.9846802,186.3110403,183.6210554,183.8386288,50730800
2023-06-28,187.1615753,187.8043964,185.5297895,185.8561346,51216800
2023-06-29,187.4978027,187.9725166,186.8549818,186.9934362,46347300
2023-06-30,191.829483,192.3338496,189.1493821,189.5153093,85213200
2023-07-03,190.3361053,191.7404331,189.6438182,191.6415306,31458200
2023-07-05,189.2185822,190.8503676,188.5164107,189.4559391,46920300
2023-07-06,189.6932983,189.9009875,187.1121001,187.7450369,45094300
2023-07-07,188.5757751,190.5438203,188.1406434,189.2977302,46815000
2023-07-10,186.5286407,187.8934169,184.9759589,187.1714618,59922200
2023-07-11,186.0044708,187.2110089,184.5408074,187.0725544,46638100
2023-07-12,187.675827,189.5845216,186.39017,187.5868087,60750200
2023-07-13,188.4373169,189.080153,187.6857092,188.3977649,41342300
2023-07-14,188.5856628,189.0702458,187.5373628,188.1307325,41616200
2023-07-17,191.8492279,192.175588,189.6932775,189.7822806,50520200
2023-07-18,191.5921326,192.1855174,190.2965912,191.2163362,48288200
2023-07-19,192.946991,196.0424398,190.5240157,190.9690619,80507300
2023-07-20,190.9987183,194.3018561,190.3756658,192.9370802,59581200
2023-07-21,189.8218689,192.8184304,189.1196974,191.9580361,71951700
2023-07-24,190.6229248,192.7590919,190.1284425,191.2756451,45377800
2023-07-25,191.4833221,192.2942804,190.7910499,191.196529,37283200
2023-07-26,192.3536072,193.4810262,191.1866362,191.5327648,47471900
2023-07-27,191.0877533,195.0238284,190.4251488,193.8568574,47460200
2023-07-28,193.6689606,194.4601354,191.9976078,192.5217579,48291400
2023-07-31,194.2820892,194.3216563,193.105219,193.8963936,38824100
2023-08-01,193.4513702,194.5590058,193.1250101,194.0744228,35175100
2023-08-02,190.4548035,193.0261024,189.7328635,192.8876479,50389300
2023-08-03,189.0603333,190.2470876,188.5856345,189.4559281,61235200
2023-08-04,179.9816742,185.3121928,179.9124394,183.472718,115956800
2023-08-07,176.8763275,181.1090949,175.3928806,180.1201302,97576100
2023-08-08,177.8158417,178.2806563,175.620339,177.707055,67823000
2023-08-09,176.223587,178.9333401,175.0566011,178.8740047,60378500
2023-08-10,176.0060425,178.755363,175.6401304,177.4993737,54686900
2023-08-11,176.0654297,176.8873805,174.8374674,175.6000026,52036700
2023-08-14,177.7192535,177.9470183,175.5900994,176.243701,43675600
2023-08-15,175.7287445,177.7390524,175.3326305,177.1448815,43622600
2023-08-16,174.8572998,176.8081771,174.7879715,175.4118655,46964900
2023-08-17,172.3122101,175.7881578,171.7972498,175.4217517,66062900
2023-08-18,172.7974701,173.4015538,170.292012,170.6287105,61172200
2023-08-21,174.1343536,174.4215491,172.0547326,173.3718335,46311900
2023-08-22,175.5108795,175.9565115,174.5403897,175.3425303,42038900
